loss,grad_norm,learning_rate,epoch,step,fold
0.4666,6.7123799324035645,0.0001998877665544332,1.0,892,1
0.3973,0.12268946319818497,9.977553310886643e-05,2.0,1784,1
0.3593,0.7822152972221375,0.0,2.997195737521032,2673,1
0.4734,0.24694842100143433,0.00019988839285714285,1.0,897,2
0.4212,3.2763192653656006,9.97767857142857e-05,2.0,1794,2
0.3775,1.7044094800949097,0.0,2.9972113775794758,2688,2
0.4611,2.4446771144866943,0.000199896694214876,1.0,969,3
0.3984,1.7073087692260742,9.979338842975205e-05,2.0,1938,3
0.3547,1.1714850664138794,0.0,2.9974186886938563,2904,3
0.4506,2.0626933574676514,0.00019999999999999998,1.0,982,4
0.3932,1.1900100708007812,9.999999999999999e-05,2.0,1964,4
0.356,2.178290843963623,0.0,3.0,2946,4
0.4842,2.3638756275177,0.00019999999999999998,1.0,885,5
0.4352,0.5263798236846924,9.999999999999999e-05,2.0,1770,5
0.3967,3.375824213027954,0.0,3.0,2655,5
