,epoch,train_loss,train_acc
0,1,0.6399833134242466,0.6853460353040067
1,2,0.5596394624028888,0.7259736620902214
2,3,0.5410697609186172,0.7259736620902214
3,4,0.5184464816536222,0.7298963295040628
4,5,0.495730710881097,0.7537125245166714
5,6,0.4761438263314111,0.7881759596525637
6,7,0.4587539029972894,0.7982628187167273
7,8,0.44418105695928845,0.802745867189689
8,9,0.4311326646379062,0.8089100588400112
9,10,0.41970514825412203,0.8105912020173718
10,11,0.4088513010314533,0.810871392546932
11,12,0.40213812568358015,0.8150742504903334
12,13,0.39091850178582327,0.8201176800224153
13,14,0.3856602907180786,0.8217988231997758
14,15,0.37503397677625927,0.8231997758475763
15,16,0.36772143095731735,0.8324460633230597
16,17,0.36042462502207073,0.8330064443821799
17,18,0.3537318142397063,0.8332866349117399
18,19,0.3479081221989223,0.8422527318576633
19,20,0.34129713475704193,0.8411319697394228
