,epoch,train_loss,train_acc
0,1,0.7010303884744644,0.6886628628131977
1,2,0.6511627286672592,0.7127263706276358
2,3,0.6295061409473419,0.723641776234185
3,4,0.6088380366563797,0.7360456462416274
4,5,0.5894909650087357,0.7400148846440089
5,6,0.5678017437458038,0.7491937484495163
6,7,0.5516810119152069,0.7578764574547259
7,8,0.5384361371397972,0.7563879930538328
8,9,0.525200828909874,0.7546514512527909
9,10,0.510413259267807,0.7655668568593401
10,11,0.49949701875448227,0.7628380054577028
11,12,0.48847467452287674,0.7663110890597866
12,13,0.47911082953214645,0.7727611014636566
13,14,0.46958088129758835,0.7712726370627636
14,15,0.46241074800491333,0.7725130240635079
