,epoch,train_loss,train_acc
0,1,0.697580357392629,0.4665017985611511
1,2,0.6699900031089783,0.5242805755395683
2,3,0.6451030373573303,0.48156474820143885
3,4,0.6248886585235596,0.479091726618705
4,5,0.6049246788024902,0.512589928057554
5,6,0.5841579735279083,0.572841726618705
6,7,0.5632720291614532,0.6137589928057554
7,8,0.5418606599171957,0.6371402877697842
8,9,0.525584489107132,0.6400629496402878
9,10,0.5058057208855947,0.6515287769784173
10,11,0.49291516343752545,0.6510791366906474
11,12,0.47650084892908734,0.6578237410071942
12,13,0.46706584592660266,0.6571492805755396
13,14,0.458715761701266,0.6679406474820144
14,15,0.45305230220158893,0.6647931654676259
15,16,0.4409884413083394,0.6632194244604317
16,17,0.43133460978666943,0.6780575539568345
17,18,0.42703376958767575,0.6778327338129496
18,19,0.42108236998319626,0.6861510791366906
19,20,0.4139345834652583,0.6937949640287769
