,epoch,train_loss,train_acc
0,1,0.6578430874007088,0.6074505238649592
1,2,0.5514910391398838,0.6540162980209546
2,3,0.507999837398529,0.6544819557625146
3,4,0.4748827602182116,0.6616996507566938
4,5,0.4444894620350429,0.7015133876600699
5,6,0.41806499660015106,0.7329452852153667
6,7,0.3998279571533203,0.7485448195576252
7,8,0.38152671073164257,0.7583236321303841
8,9,0.36255274074418203,0.7688009313154831
9,10,0.3466152846813202,0.7792782305005821
10,11,0.330460501568658,0.789988358556461
11,12,0.31885551661252975,0.8
12,13,0.3049940552030291,0.809313154831199
13,14,0.2950718637023653,0.820023282887078
14,15,0.28256311480488094,0.8256111757857975
