,epoch,train_loss,train_acc
0,1,0.7053990624845028,0.4507140369209335
1,2,0.6614888496696949,0.5937826541274818
2,3,0.6353544145822525,0.605276907001045
3,4,0.6099172383546829,0.6367119470567747
4,5,0.5839944910258055,0.6530825496342738
5,6,0.5610338691622019,0.664576802507837
6,7,0.5385557729750872,0.6766805990943922
7,8,0.5180626101791859,0.6933995123650296
8,9,0.49921408481895924,0.7031522117729014
9,10,0.481157036498189,0.7197840473702543
10,11,0.46368440240621567,0.7268373389063044
11,12,0.4471285045146942,0.7394636015325671
12,13,0.4342130869626999,0.7458202716823407
13,14,0.42032754234969616,0.7557471264367817
14,15,0.4070342993363738,0.7640195053988157
15,16,0.39614620991051197,0.7675026123301986
16,17,0.3856479157693684,0.7754266805990944
17,18,0.37419954873621464,0.7834378265412748
18,19,0.3631795416586101,0.7887495646116336
19,20,0.35243863007053733,0.7953674677812609
