,epoch,train_loss,train_acc
0,1,0.7051557898521423,0.4458420124979971
1,2,0.6676200777292252,0.6091972440314052
2,3,0.6472438834607601,0.6288255087325749
3,4,0.6249407082796097,0.6545425412594136
4,5,0.602876216173172,0.6722480371735299
5,6,0.581492505967617,0.6857875340490306
6,7,0.5595986824482679,0.6967633392084602
7,8,0.541143137961626,0.7116647973081237
8,9,0.5210870765149593,0.7246434866207339
9,10,0.503922862932086,0.7346579073866367
10,11,0.48808547481894493,0.7457138279121935
11,12,0.4722750447690487,0.7546066335523154
12,13,0.45821780525147915,0.7628585162634193
13,14,0.444039523601532,0.7743951289857395
14,15,0.43162930849939585,0.7833680499919885
15,16,0.41950229462236166,0.7908187790418202
16,17,0.4092709943652153,0.794343855151418
17,18,0.39818164240568876,0.8009934305399775
18,19,0.3861341569572687,0.8118891203332799
19,20,0.37798282224684954,0.8146931581477327
