,epoch,train_loss,train_acc
0,1,0.724420890212059,0.4226085563211024
1,2,0.6785331219434738,0.5751482134273354
2,3,0.6631466820836067,0.5908508251882711
3,4,0.6445160694420338,0.6075148213427335
4,5,0.6280021443963051,0.6224963948085243
5,6,0.6094693541526794,0.6385194680339689
6,7,0.5885710995644331,0.6705656144848582
7,8,0.5685193277895451,0.6915558404101907
8,9,0.5490891598165035,0.7087005287614164
9,10,0.5306578017771244,0.7186348341611921
10,11,0.5090326387435198,0.7385034449607435
11,12,0.48989138193428516,0.7507610959782086
12,13,0.473221130669117,0.7637397852908188
13,14,0.4584299623966217,0.7703893606793784
14,15,0.4410894028842449,0.7783207819259734
15,16,0.42422846984118223,0.7921807402659831
16,17,0.40997673850506544,0.7986700849222881
17,18,0.39734538923949003,0.8025156224963949
18,19,0.3833879651501775,0.8099663515462265
19,20,0.3709237854927778,0.8150937349783689
