pathogen,checkpoint,model size,mode,epoch,train_loss,train_acc
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,18,0.5421557639326368,0.7674418604651163
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,19,0.5386767642838615,0.7649201456990754
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,20,0.5324375927448273,0.7730456710563183
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,1,0.7023613367761884,0.3838610254973382
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,2,0.6579368965966361,0.7595965256374334
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,3,0.6333232607160296,0.7652003362286355
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,4,0.6108847303049905,0.7685626225833567
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,5,0.5864071718284062,0.7769683384701597
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,6,0.5663788318634033,0.7786494816475203
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,7,0.5457964496953147,0.7797702437657608
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,8,0.5285769999027252,0.788736340711684
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,9,0.5142970553466252,0.7951807228915663
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,10,0.5037408918142319,0.7979826281871673
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,11,0.4909499755927494,0.8013449145418885
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,12,0.4813965814454214,0.8066685346035304
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,13,0.4683332123926708,0.8063883440739703
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,14,0.4610724662031446,0.8145138694312132
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,15,0.4519119603293283,0.813953488372093
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,16,0.4447653272322246,0.8170355841972541
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,17,0.4351512619427272,0.824880919024937
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,18,0.4297123636518206,0.8209582516110956
