,epoch,train_loss,train_acc
0,1,0.6547263387371512,0.6209448624645368
1,2,0.6015088014742908,0.6558529665720982
2,3,0.5939258249366984,0.6556062661897126
3,4,0.5897387669366949,0.6540027137042063
4,5,0.5843372888424817,0.655359565807327
5,6,0.5817087064771091,0.6542494140865919
6,7,0.5795538758530336,0.6541260638953991
7,8,0.5772554050473606,0.6531392623658566
8,9,0.5746557169100818,0.654742814851363
9,10,0.5729374499881968,0.6546194646601702
10,11,0.571000032565173,0.6556062661897126
11,12,0.5695803849136128,0.655359565807327
12,13,0.5667651172946481,0.6580732700135685
13,14,0.5651130378246307,0.6579499198223757
14,15,0.5637590359239018,0.6584433205871469
15,16,0.5620033215073978,0.6609103244110028
16,17,0.559937620864195,0.6614037251757741
17,18,0.5596460051396314,0.6633773282348587
18,19,0.558170769144507,0.6621438263229308
19,20,0.5565918193143957,0.6630072776612804
