,epoch,train_loss,train_acc
0,1,0.6414751515668982,0.6317996792895029
1,2,0.5937059153528774,0.6557296163809054
2,3,0.5760944555787479,0.6557296163809054
3,4,0.5641885469941532,0.6584433205871469
4,5,0.5535337626934052,0.6670778339706427
5,6,0.5444586610092836,0.6744788454422105
6,7,0.5360636746182161,0.6808930553842358
7,8,0.5261816960923812,0.6961884790921425
8,9,0.5176049260532155,0.7104971012705069
9,10,0.5080067217350006,0.7222153694338226
10,11,0.4982929107020883,0.7345503885531023
11,12,0.4895402368377237,0.7446651042309116
