,epoch,train_loss,train_acc
0,1,0.6973412122045245,0.5813953488372093
1,2,0.6401078019823346,0.7708041468198374
2,3,0.6042056977748871,0.7822919585318017
3,4,0.5712740123271942,0.7828523395909218
4,5,0.5383866003581456,0.7786494816475203
5,6,0.5147909224033356,0.7828523395909218
6,7,0.49255295949322836,0.788736340711684
7,8,0.4738454350403377,0.8016251050714486
8,9,0.4597040755408151,0.808349677780891
9,10,0.4452817418745586,0.8119921546651723
10,11,0.4306278420346124,0.8198374894928552
11,12,0.4167508844818388,0.8313253012048193
