,epoch,train_loss,train_acc
0,1,0.7319994180098824,0.47267968153560913
1,2,0.6898850837479467,0.37719489584469407
2,3,0.6821318385393723,0.41149525575308105
3,4,0.6775710479072903,0.4198385865416076
4,5,0.6751291855521824,0.41454902388482934
5,6,0.6690398441708606,0.43488930090522415
6,7,0.6642065216665682,0.45501145163049406
7,8,0.6588477894015934,0.4718617079288908
8,9,0.6559789336245992,0.49029337986694294
9,10,0.64777447088905,0.5297742392845457
10,11,0.6466217222421066,0.529337986694296
11,12,0.641838462456413,0.5203402770203948
12,13,0.6359404947446741,0.5641291307667139
13,14,0.6315148757851642,0.5552404842403752
