,epoch,train_loss,train_acc
0,1,0.8917383314533667,0.5763097949886105
1,2,0.6490344975482334,0.6372437357630979
2,3,0.6397132495587522,0.6494874715261959
3,4,0.625154190713709,0.6685649202733486
4,5,0.6154124427925457,0.6902050113895216
5,6,0.605755685811693,0.6882118451025057
6,7,0.6023417467420752,0.6816628701594533
7,8,0.5892489224672317,0.6856492027334852
8,9,0.576078566502441,0.7061503416856492
9,10,0.5653889931061051,0.7135535307517085
10,11,0.5797884173013947,0.7004555808656037
11,12,0.5672749874266712,0.7212414578587699
12,13,0.5505787047472868,0.7175398633257403
13,14,0.544277284565297,0.7263667425968109
14,15,0.5549759591167623,0.7175398633257403
15,16,0.5326539288867603,0.7451594533029613
