pathogen,checkpoint,model size,mode,epoch,train_loss,train_acc
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,11,0.5140707876001086,0.7531521434575511
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,12,0.5068756320646831,0.7548332866349118
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,13,0.5059981175831386,0.7579153824600728
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,14,0.4980980860335486,0.7598767161669936
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,15,0.4989108230386461,0.7621182404034743
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,16,0.4908450181995119,0.7652003362286355
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,17,0.4860526131732123,0.7682824320537965
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,18,0.4799886069127491,0.7696833847015971
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,19,0.4774826488324574,0.7761277668814794
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,20,0.4713487305811473,0.7780891005884001
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,1,0.6544903772217887,0.6492014569907537
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,2,0.5699253763471331,0.7262538526197815
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,3,0.5500689489500863,0.7262538526197815
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,4,0.5368215973888125,0.7273746147380219
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,5,0.5168833924191338,0.7284953768562623
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,6,0.5038405976125172,0.7419445222751471
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,7,0.4870750265462057,0.7593163351078733
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,8,0.4733609003680093,0.7702437657607173
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,9,0.4611599402768271,0.7758475763519193
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,10,0.4521494678088597,0.7828523395909218
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,11,0.4418796066726957,0.7876155785934436
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,12,0.4332619458436966,0.7951807228915663
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,13,0.4214880977358137,0.8016251050714486
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,14,0.4160159251519612,0.8044270103670496
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,15,0.4087167382240295,0.8086298683104511
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,16,0.4023560093981879,0.8125525357242925
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,17,0.3931442807827677,0.8215186326702157
