,epoch,train_loss,train_acc
0,1,0.7003925859928131,0.4372115384615385
1,2,0.664490932226181,0.47057692307692306
2,3,0.6423727512359619,0.59
3,4,0.6210902452468872,0.6251923076923077
4,5,0.5958865106105804,0.6341346153846154
5,6,0.5738791257143021,0.6616346153846154
6,7,0.5524431109428406,0.6759615384615385
7,8,0.535621777176857,0.691923076923077
8,9,0.5174980580806732,0.7034615384615385
9,10,0.504090815782547,0.713173076923077
10,11,0.4922079980373383,0.7189423076923077
11,12,0.47956233024597167,0.7273076923076923
12,13,0.468731427192688,0.7346153846153847
13,14,0.4601723402738571,0.7415384615384616
14,15,0.44989712685346606,0.74875
15,16,0.44218416064977645,0.7515384615384615
16,17,0.4349041372537613,0.7542307692307693
17,18,0.42533662617206575,0.7576923076923077
18,19,0.41708228439092637,0.7636538461538461
19,20,0.41265424340963364,0.7680769230769231
