,epoch,train_loss,train_acc
0,1,0.7066904604434967,0.40134615384615385
1,2,0.674277526140213,0.4276923076923077
2,3,0.6679390430450439,0.49038461538461536
3,4,0.6628040969371796,0.5066346153846154
4,5,0.6567399144172669,0.5102884615384615
5,6,0.651566743850708,0.5223076923076924
6,7,0.6452435255050659,0.5447115384615384
7,8,0.641210675239563,0.5497115384615384
8,9,0.6354815006256104,0.5634615384615385
9,10,0.6312619209289551,0.57375
10,11,0.6264982104301453,0.5814423076923076
11,12,0.6224329590797424,0.5928846153846153
