,epoch,train_loss,train_acc
0,1,0.8865497920011717,0.5717477656405164
1,2,0.650840956658598,0.6052631578947368
2,3,0.6436488605917446,0.6045183714001986
3,4,0.6295115870852319,0.6233862959285005
4,5,0.6222966432807937,0.6293445878848064
5,6,0.6151413692841454,0.6355511420059583
6,7,0.613776827024089,0.6295928500496525
7,8,0.6174367659148716,0.625124131082423
8,9,0.6030816620304471,0.6318272095332671
9,10,0.6008397768887263,0.6357994041708044
10,11,0.6090802343355285,0.605759682224429
11,12,0.5981986552240357,0.6305858987090367
12,13,0.5796404608658382,0.6504468718967229
13,14,0.5883020271384527,0.6310824230387289
14,15,0.5768240796668189,0.6497020854021847
15,16,0.5752969817036674,0.6606256206554121
16,17,0.5719788085728411,0.6524329692154915
17,18,0.565233644157175,0.6680734856007945
18,19,0.567696331985413,0.6551638530287984
19,20,0.5631834793658483,0.673038728897716
