,epoch,train_loss,train_acc
0,1,0.729800671339035,0.5591664599354998
1,2,0.6585618704557419,0.6209377325725627
2,3,0.6318072080612183,0.4706028280823617
3,4,0.6244977936148643,0.3669064748201439
4,5,0.6128478869795799,0.4338873728603324
5,6,0.5957631692290306,0.5547010667328206
6,7,0.5764447078108788,0.6159761845695857
7,8,0.5599966943264008,0.6258992805755396
8,9,0.5462913140654564,0.6184569585710742
9,10,0.5327902287244797,0.6102704043661622
10,11,0.5248611867427826,0.6209377325725627
11,12,0.5133234784007072,0.6321012155792607
12,13,0.5017079561948776,0.6425204663855123
13,14,0.4890515208244324,0.647730091788638
14,15,0.4830682575702667,0.6521954849913173
15,16,0.47174227982759476,0.6636070453981642
