,epoch,train_loss,train_acc
0,1,0.7196506261825562,0.6844455470106673
1,2,0.666983351111412,0.6901513272140908
2,3,0.6361222118139267,0.5685934011411561
3,4,0.6187693923711777,0.4390969982634582
4,5,0.6068401783704758,0.4257008186554205
5,6,0.5901268795132637,0.46564128007938477
6,7,0.5741924047470093,0.534854874720913
7,8,0.5595857203006744,0.5889357479533615
8,9,0.5443456321954727,0.6236665839741999
9,10,0.5291405469179153,0.6303646737782188
10,11,0.5195305347442627,0.6363185313817911
11,12,0.5095145776867867,0.6390473827834284
12,13,0.5021745339035988,0.6502108657901265
13,14,0.492827944457531,0.6633589679980154
14,15,0.4845728352665901,0.676755147606053
15,16,0.4761856347322464,0.6824609278094765
16,17,0.4692060798406601,0.6923840238154304
