,epoch,train_loss,train_acc
0,1,0.7068024538457394,0.4560967793622817
1,2,0.6603940576314926,0.5951770549591412
2,3,0.6301669366657734,0.6362762377824067
3,4,0.5923637636005878,0.6611120012818459
4,5,0.5527949221432209,0.6973241467713508
5,6,0.5167861357331276,0.7232014100304438
6,7,0.4848224502056837,0.742989905463868
7,8,0.45546076633036137,0.7647011696843454
8,9,0.42884798906743526,0.7816856273033168
9,10,0.4051455343142152,0.7977888158948886
10,11,0.3831374906003475,0.811168082038135
11,12,0.3637986145913601,0.819820541579875
12,13,0.3454480404034257,0.8299150777119051
13,14,0.3316565924324095,0.836324307002083
14,15,0.3175986772403121,0.8432142284890242
15,16,0.30296400655061007,0.8514661112001282
16,17,0.2901986790820956,0.8615606473321583
17,18,0.2792016533203423,0.8669283768626823
18,19,0.2661849628202617,0.8751802595737862
19,20,0.2540004216134548,0.8822304117929819
