,epoch,train_loss,train_acc
0,1,0.7386053241789341,0.4427175132190354
1,2,0.6770445071160793,0.562810447043743
2,3,0.6585939452052116,0.5794744431982054
3,4,0.6377345398068428,0.58540298029162
4,5,0.6163378711789846,0.6020669764460823
5,6,0.5924338009208441,0.6240185867649415
6,7,0.5680781733244658,0.6510174651498157
7,8,0.5503219813108444,0.6737702291299471
8,9,0.5303423441946507,0.7009293382470758
9,10,0.5082864295691252,0.72937029322224
10,11,0.4925762265920639,0.744832558884794
11,12,0.4760927427560091,0.750200288415318
12,13,0.4610031098127365,0.7708700528761416
13,14,0.442285830155015,0.781044704374299
14,15,0.42722330149263144,0.7952251241788175
15,16,0.41293338406831026,0.8026758532286492
16,17,0.3970041973516345,0.8090850825188272
17,18,0.3843895513564348,0.81765742669444
18,19,0.3719242075458169,0.8235859637878545
