pathogen,epoch,train_loss,train_acc
Orthopoxvirus,1,0.8917383314533667,0.5763097949886105
Orthopoxvirus,2,0.6490344975482334,0.6372437357630979
Orthopoxvirus,3,0.6397132495587522,0.6494874715261959
Orthopoxvirus,4,0.625154190713709,0.6685649202733486
Orthopoxvirus,5,0.6154124427925457,0.6902050113895216
Orthopoxvirus,6,0.605755685811693,0.6882118451025057
Orthopoxvirus,7,0.6023417467420752,0.6816628701594533
Orthopoxvirus,8,0.5892489224672317,0.6856492027334852
Orthopoxvirus,9,0.576078566502441,0.7061503416856492
Orthopoxvirus,10,0.5653889931061051,0.7135535307517085
Orthopoxvirus,11,0.5797884173013947,0.7004555808656037
Orthopoxvirus,12,0.5672749874266712,0.7212414578587699
Orthopoxvirus,13,0.5505787047472868,0.7175398633257403
Orthopoxvirus,14,0.544277284565297,0.7263667425968109
Orthopoxvirus,15,0.5549759591167623,0.7175398633257403
Orthopoxvirus,16,0.5326539288867603,0.7451594533029613
Clostridioides difficile,1,0.9249030633767444,0.5332961827807189
Clostridioides difficile,2,0.6760965784390768,0.5890220117024241
Clostridioides difficile,3,0.6739601466390822,0.5912510448592923
Clostridioides difficile,4,0.6698443778355916,0.6012816940651993
Clostridioides difficile,5,0.6684914082951016,0.5929228197269434
Clostridioides difficile,6,0.6619009108013577,0.5920869322931178
Clostridioides difficile,7,0.6554679074552324,0.6140986347171914
Clostridioides difficile,8,0.6596572642856174,0.6021175814990248
Pasteurellaceae,1,0.735247842010173,0.5614739783443939
Pasteurellaceae,2,0.665836920743215,0.5900279427174293
Pasteurellaceae,3,0.663066592005045,0.5911631156129934
Orthoparamyxovirinae,1,0.750170159349103,0.5796682098765432
Orthoparamyxovirinae,2,0.6690866787124563,0.5932677469135802
Orthoparamyxovirinae,3,0.6663732339662535,0.5868055555555556
Orthoparamyxovirinae,4,0.6632929784648213,0.566358024691358
Orthoparamyxovirinae,5,0.6602038694660605,0.5994405864197531
Orthoparamyxovirinae,6,0.6561928512413561,0.5920138888888888
Orthoparamyxovirinae,7,0.6546653221234863,0.5380979938271605
Orthoparamyxovirinae,8,0.6541903623736199,0.5354938271604939
Orthoparamyxovirinae,9,0.6537838472444334,0.5345293209876543
Orthoparamyxovirinae,10,0.6531878242982022,0.5477430555555556
Orthoparamyxovirinae,11,0.6537455576529474,0.5513117283950617
Legionellales,1,0.7480108200432554,0.554859437751004
Legionellales,2,0.6741084546730668,0.5726104417670683
Legionellales,3,0.669100126306573,0.5803212851405622
Yersinia pestis,1,0.7898877124997634,0.5581284694686757
Yersinia pestis,2,0.6646518288533899,0.5912767644726408
Yersinia pestis,3,0.6553542386881913,0.5990483743061062
Yersinia pestis,4,0.6520827921885478,0.5955590800951626
Yersinia pestis,5,0.6466075340403786,0.6053925455987311
Yersinia pestis,6,0.648331260077561,0.5982553528945281
Yersinia pestis,7,0.642186605326737,0.609199048374306
Yersinia pestis,8,0.6346686310405972,0.6161776367961935
Campylobacter jejuni,1,0.9297516651063168,0.5542025542025542
Campylobacter jejuni,2,0.6706609115781377,0.6192456192456193
Campylobacter jejuni,3,0.6471442159318246,0.6326106326106327
Campylobacter jejuni,4,0.6501640044682399,0.6453816453816453
Campylobacter jejuni,5,0.6486175693041906,0.6438966438966439
Campylobacter jejuni,6,0.6478286252767553,0.6528066528066528
Campylobacter jejuni,7,0.6355738413842369,0.6531036531036531
Campylobacter jejuni,8,0.6290069812846975,0.6572616572616573
Campylobacter jejuni,9,0.6201116555674946,0.6599346599346599
Campylobacter jejuni,10,0.6169364055468572,0.6718146718146718
Campylobacter jejuni,11,0.6225037759796703,0.6804276804276804
Campylobacter jejuni,12,0.6133663306869037,0.6792396792396792
Campylobacter jejuni,13,0.607370508649338,0.6744876744876744
Campylobacter jejuni,14,0.6068461794423831,0.6905256905256906
Campylobacter jejuni,15,0.5921705630718249,0.681912681912682
Campylobacter jejuni,16,0.5904939142166156,0.6709236709236709
Dengue virus,1,0.7426289976904342,0.5253681546249425
Dengue virus,2,0.6873444323706429,0.5408996778647032
Dengue virus,3,0.6873947395681786,0.5262310170271514
Dengue virus,4,0.6835110160661818,0.5517717441325357
Dengue virus,5,0.6825155811015904,0.5592498849516797
Dengue virus,6,0.6809226610074925,0.5702369995398067
Dengue virus,7,0.6815452377732566,0.5716751035434883
Dengue virus,8,0.6824086464208096,0.573803497468937
Dengue virus,9,0.681251322389636,0.5712724344224575
Dengue virus,10,0.6806738339330257,0.5537850897376898
Dengue virus,11,0.6796411136036744,0.5722503451449609
Mycoplasmoidaceae,1,0.6991311176048826,0.6159694466648903
Mycoplasmoidaceae,2,0.6796657386643198,0.6468602895461408
Neisseria gonorrhoeae,1,0.8865497920011717,0.5717477656405164
Neisseria gonorrhoeae,2,0.650840956658598,0.6052631578947368
Neisseria gonorrhoeae,3,0.6436488605917446,0.6045183714001986
Neisseria gonorrhoeae,4,0.6295115870852319,0.6233862959285005
Neisseria gonorrhoeae,5,0.6222966432807937,0.6293445878848064
Neisseria gonorrhoeae,6,0.6151413692841454,0.6355511420059583
Neisseria gonorrhoeae,7,0.613776827024089,0.6295928500496525
Neisseria gonorrhoeae,8,0.6174367659148716,0.625124131082423
Neisseria gonorrhoeae,9,0.6030816620304471,0.6318272095332671
Neisseria gonorrhoeae,10,0.6008397768887263,0.6357994041708044
Neisseria gonorrhoeae,11,0.6090802343355285,0.605759682224429
Neisseria gonorrhoeae,12,0.5981986552240357,0.6305858987090367
Neisseria gonorrhoeae,13,0.5796404608658382,0.6504468718967229
Neisseria gonorrhoeae,14,0.5883020271384527,0.6310824230387289
