,epoch,train_loss,train_acc
0,1,0.7046229727566242,0.4592212786412434
1,2,0.6675073429942131,0.567136676814613
2,3,0.6483688317239285,0.5949367088607594
3,4,0.6284620426595211,0.6198525877263259
4,5,0.6085529886186123,0.6394007370613684
5,6,0.5879583600908518,0.6632751161672809
6,7,0.567351907491684,0.6860278801474122
7,8,0.5471846777945757,0.7051754526518186
8,9,0.5271092597395182,0.7210382951450088
9,10,0.5084500554949045,0.7373017144688351
10,11,0.4897313043475151,0.7485979810927736
11,12,0.4743946585804224,0.7561288255087326
12,13,0.4578613396733999,0.7689472840890883
13,14,0.44258363638073206,0.7792821663195001
14,15,0.4298104364424944,0.7838487421887518
15,16,0.4191379100084305,0.7939432783207819
16,17,0.4085694709792733,0.7968274315013619
17,18,0.39978982973843813,0.8021150456657586
18,19,0.3901066528633237,0.806521390802756
