pathogen,checkpoint,model size,mode,trainable_params,total_params,trainable_percent
Campylobacter jejuni,esm2_t6_8M_UR50D,8M,base,7511801,7511801,100.0
Campylobacter jejuni,esm2_t12_35M_UR50D,35M,full,33270483,33270483,100.0
Dengue virus,esm2_t30_150M_UR50D,150M,base,148138841,148138841,100.0
Dengue virus,esm2_t6_8M_UR50D,8M,full,7409723,7409723,100.0
Dengue virus,esm2_t12_35M_UR50D,35M,base,33500401,33500401,100.0
Dengue virus,esm2_t12_35M_UR50D,35M,LoRA,479523,33685203,1.4235419629206332
Dengue virus,esm2_t30_150M_UR50D,150M,LoRA,1595523,149112283,1.0700144668833218
Dengue virus,esm2_t6_8M_UR50D,8M,LoRA,160323,7547963,2.124056516970208
Dengue virus,esm2_t30_150M_UR50D,150M,full,147729883,147729883,100.0
Dengue virus,esm2_t6_8M_UR50D,8M,base,7511801,7511801,100.0
Dengue virus,esm2_t12_35M_UR50D,35M,full,33270483,33270483,100.0
Mycoplasmoidaceae,esm2_t30_150M_UR50D,150M,base,148138841,148138841,100.0
Mycoplasmoidaceae,esm2_t6_8M_UR50D,8M,full,7409723,7409723,100.0
Mycoplasmoidaceae,esm2_t12_35M_UR50D,35M,base,33500401,33500401,100.0
Mycoplasmoidaceae,esm2_t12_35M_UR50D,35M,LoRA,479523,33685203,1.4235419629206332
Mycoplasmoidaceae,esm2_t30_150M_UR50D,150M,LoRA,1595523,149112283,1.0700144668833218
Mycoplasmoidaceae,esm2_t6_8M_UR50D,8M,LoRA,160323,7547963,2.124056516970208
Mycoplasmoidaceae,esm2_t30_150M_UR50D,150M,full,147729883,147729883,100.0
Mycoplasmoidaceae,esm2_t6_8M_UR50D,8M,base,7511801,7511801,100.0
Mycoplasmoidaceae,esm2_t12_35M_UR50D,35M,full,33270483,33270483,100.0
Neisseria gonorrhoeae,esm2_t30_150M_UR50D,150M,base,148138841,148138841,100.0
Neisseria gonorrhoeae,esm2_t6_8M_UR50D,8M,full,7409723,7409723,100.0
Neisseria gonorrhoeae,esm2_t12_35M_UR50D,35M,base,33500401,33500401,100.0
Neisseria gonorrhoeae,esm2_t12_35M_UR50D,35M,LoRA,479523,33685203,1.4235419629206332
Neisseria gonorrhoeae,esm2_t30_150M_UR50D,150M,LoRA,1595523,149112283,1.0700144668833218
Neisseria gonorrhoeae,esm2_t6_8M_UR50D,8M,LoRA,160323,7547963,2.124056516970208
Neisseria gonorrhoeae,esm2_t30_150M_UR50D,150M,full,147729883,147729883,100.0
Neisseria gonorrhoeae,esm2_t6_8M_UR50D,8M,base,7511801,7511801,100.0
Neisseria gonorrhoeae,esm2_t12_35M_UR50D,35M,full,33270483,33270483,100.0
Mycobacterium leprae,esm2_t30_150M_UR50D,150M,base,148138841,148138841,100.0
Mycobacterium leprae,esm2_t6_8M_UR50D,8M,full,7409723,7409723,100.0
Mycobacterium leprae,esm2_t12_35M_UR50D,35M,base,33500401,33500401,100.0
Mycobacterium leprae,esm2_t12_35M_UR50D,35M,LoRA,479523,33685203,1.4235419629206332
Mycobacterium leprae,esm2_t30_150M_UR50D,150M,LoRA,1595523,149112283,1.0700144668833218
Mycobacterium leprae,esm2_t6_8M_UR50D,8M,LoRA,160323,7547963,2.124056516970208
Mycobacterium leprae,esm2_t30_150M_UR50D,150M,full,147729883,147729883,100.0
Mycobacterium leprae,esm2_t6_8M_UR50D,8M,base,7511801,7511801,100.0
Mycobacterium leprae,esm2_t12_35M_UR50D,35M,full,33270483,33270483,100.0
Bunyaviricetes,esm2_t30_150M_UR50D,150M,base,148138841,148138841,100.0
Bunyaviricetes,esm2_t6_8M_UR50D,8M,full,7409723,7409723,100.0
Bunyaviricetes,esm2_t12_35M_UR50D,35M,base,33500401,33500401,100.0
Bunyaviricetes,esm2_t12_35M_UR50D,35M,LoRA,479523,33685203,1.4235419629206332
Bunyaviricetes,esm2_t30_150M_UR50D,150M,LoRA,1595523,149112283,1.0700144668833218
Bunyaviricetes,esm2_t6_8M_UR50D,8M,LoRA,160323,7547963,2.124056516970208
Bunyaviricetes,esm2_t30_150M_UR50D,150M,full,147729883,147729883,100.0
Bunyaviricetes,esm2_t6_8M_UR50D,8M,base,7511801,7511801,100.0
Bunyaviricetes,esm2_t12_35M_UR50D,35M,full,33270483,33270483,100.0
