pathogen,checkpoint,model size,mode,loss,grad_norm,learning_rate,epoch,step,fold
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,0.3634270071186838,0.2871550321578979,2.2271714922049e-07,3.0,1347,2
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,0.4169612609234053,4.704686164855957,0.000200206185567,1.0,485,3
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,0.3695443379510309,5.74675178527832,0.000100206185567,2.0,970,3
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,0.3455386446923325,3.8212661743164062,2.061855670103093e-07,3.0,1455,3
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,0.4107438160165008,2.44701886177063,0.0002002242152466,1.0,446,1
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,0.3544811710648473,0.5514571666717529,0.0001002242152466,2.0,892,1
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,0.3341359023021475,2.913259506225586,2.242152466367713e-07,3.0,1338,1
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,0.4308891381346569,0.8632842302322388,0.0002002227171492,1.0,449,2
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,0.3863934217423267,3.0086309909820557,0.0001002227171492,2.0,898,2
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,0.3650253058010857,0.2403642237186432,2.2271714922049e-07,3.0,1347,2
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,0.4168993448473743,3.6202900409698486,0.000200206185567,1.0,485,3
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,0.3664715953708924,5.2419867515563965,0.000100206185567,2.0,970,3
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,0.350765802442413,6.939693450927734,2.061855670103093e-07,3.0,1455,3
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,0.4213789867178741,3.534531354904175,0.0002002242152466,1.0,446,1
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,0.3722946098567124,1.0132052898406982,0.0001002242152466,2.0,892,1
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,0.361677366521861,3.8580617904663086,2.242152466367713e-07,3.0,1338,1
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,0.4379902523185203,0.6012827754020691,0.0002002227171492,1.0,449,2
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,0.3953449954434333,2.928156614303589,0.0001002227171492,2.0,898,2
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,0.3757551231469237,0.5944051146507263,2.2271714922049e-07,3.0,1347,2
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,0.4247677517920425,3.7020926475524902,0.000200206185567,1.0,485,3
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,0.3769777278310245,5.4892659187316895,0.000100206185567,2.0,970,3
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,0.3651586473602609,9.444225311279297,2.061855670103093e-07,3.0,1455,3
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,0.4273338831059067,6.275302410125732,0.0002002242152466,1.0,446,1
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,0.375891852271931,1.6197748184204102,0.0001002242152466,2.0,892,1
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,0.3644094766522737,4.9849019050598145,2.242152466367713e-07,3.0,1338,1
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,0.4456209382394905,1.119447946548462,0.0002002227171492,1.0,449,2
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,0.4082132522141216,4.007718086242676,0.0001002227171492,2.0,898,2
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,0.391742086091923,1.6827563047409058,2.2271714922049e-07,3.0,1347,2
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,0.4261767200587951,3.6658105850219727,0.000200206185567,1.0,485,3
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,0.3885001585655606,inf,0.000100206185567,2.0,970,3
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,0.380697694758779,18.82189559936523,2.061855670103093e-07,3.0,1455,3
Clostridioides difficile,esm2_t33_650M_UR50D,650M,full,0.625118657162315,0.6622264981269836,0.0002052631578947,1.0,19,1
Clostridioides difficile,esm2_t33_650M_UR50D,650M,full,0.5087481046977796,5.676265239715576,0.0001052631578947,2.0,38,1
Clostridioides difficile,esm2_t33_650M_UR50D,650M,full,0.5238161588969984,1.92215096950531,5.263157894736841e-06,3.0,57,1
Clostridioides difficile,esm2_t33_650M_UR50D,650M,full,0.7141566806369357,10.598488807678224,0.0002055555555555,1.0,18,2
Clostridioides difficile,esm2_t33_650M_UR50D,650M,full,0.5515432357788086,5.995357036590576,0.0001055555555555,2.0,36,2
Clostridioides difficile,esm2_t33_650M_UR50D,650M,full,0.5293712086147733,2.761679410934448,5.555555555555555e-06,3.0,54,2
Clostridioides difficile,esm2_t33_650M_UR50D,650M,full,0.5817872776704676,2.011756420135498,0.0002058823529411,1.0,17,3
Clostridioides difficile,esm2_t33_650M_UR50D,650M,full,0.580939349006204,4.122321128845215,0.0001058823529411,2.0,34,3
Clostridioides difficile,esm2_t33_650M_UR50D,650M,full,0.5839151494643268,2.3504185676574707,5.88235294117647e-06,3.0,51,3
Clostridioides difficile,esm2_t33_650M_UR50D,650M,LoRA,0.5755107779251901,0.6416871547698975,0.0002052631578947,1.0,19,1
Clostridioides difficile,esm2_t33_650M_UR50D,650M,LoRA,0.5159282182392321,0.5266201496124268,0.0001052631578947,2.0,38,1
Clostridioides difficile,esm2_t33_650M_UR50D,650M,LoRA,0.516651103371068,1.256426215171814,5.263157894736841e-06,3.0,57,1
Clostridioides difficile,esm2_t33_650M_UR50D,650M,LoRA,0.7447840902540419,6.442784309387207,0.0002055555555555,1.0,18,2
Clostridioides difficile,esm2_t33_650M_UR50D,650M,LoRA,0.5715446472167969,5.837595462799072,0.0001055555555555,2.0,36,2
Clostridioides difficile,esm2_t33_650M_UR50D,650M,LoRA,0.5026998519897461,2.1303913593292236,5.555555555555555e-06,3.0,54,2
Clostridioides difficile,esm2_t33_650M_UR50D,650M,LoRA,0.6929031820858226,2.4660556316375732,0.0002058823529411,1.0,17,3
Clostridioides difficile,esm2_t33_650M_UR50D,650M,LoRA,0.5755096323349896,3.264892101287842,0.0001058823529411,2.0,34,3
Clostridioides difficile,esm2_t33_650M_UR50D,650M,LoRA,0.5613247366512523,0.5910517573356628,5.88235294117647e-06,3.0,51,3
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,0.5483151987979287,0.6081396341323853,0.0002052631578947,1.0,19,1
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,0.4452734495464124,3.5536839962005615,0.0001052631578947,2.0,38,1
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,0.3725303850675884,0.7775195240974426,5.263157894736841e-06,3.0,57,1
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,0.7020395067003038,10.303532600402832,0.0002055555555555,1.0,18,2
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,0.5001796616448296,5.545549392700195,0.0001055555555555,2.0,36,2
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,0.3956308099958632,inf,5.555555555555555e-06,3.0,54,2
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,0.5688579783720129,1.9174208641052248,0.0002058823529411,1.0,17,3
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,0.5707882151884192,3.532365560531616,0.0001058823529411,2.0,34,3
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,0.5658669752233169,1.51497483253479,5.88235294117647e-06,3.0,51,3
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,0.571175776029888,0.5042933821678162,0.0002052631578947,1.0,19,1
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,0.5132423200105366,1.8784867525100708,0.0001052631578947,2.0,38,1
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,0.4406352294118781,5.3982253074646,5.263157894736841e-06,3.0,57,1
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,0.642404662238227,9.091053009033203,0.0002055555555555,1.0,18,2
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,0.5665046903822157,6.379505634307861,0.0001055555555555,2.0,36,2
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,0.4992533259921604,2.5883517265319824,5.555555555555555e-06,3.0,54,2
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,0.57074114855598,2.55562424659729,0.0002058823529411,1.0,17,3
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,0.5603490717270795,4.056643486022949,0.0001058823529411,2.0,34,3
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,0.5849241929895738,0.9298778772354126,5.88235294117647e-06,3.0,51,3
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,0.5737910521657843,0.7649458646774292,0.0002052631578947,1.0,19,1
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,0.5107363650673314,8.840841293334961,0.0001052631578947,2.0,38,1
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,0.53963219492059,2.1740243434906006,5.263157894736841e-06,3.0,57,1
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,0.6360638936360677,inf,0.0002055555555555,1.0,18,2
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,0.563573784298367,6.075865268707275,0.0001055555555555,2.0,36,2
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,0.5087791019015842,2.398640394210815,5.555555555555555e-06,3.0,54,2
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,0.5408036288093118,0.8558822870254517,0.0002058823529411,1.0,17,3
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,0.5678480933694279,2.472231149673462,0.0001058823529411,2.0,34,3
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,0.5230165369370404,1.1245750188827517,5.88235294117647e-06,3.0,51,3
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,0.6092603583084909,1.258336067199707,0.0002052631578947,1.0,19,1
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,0.5351692500867342,0.6247304081916809,0.0001052631578947,2.0,38,1
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,0.5298297279759457,0.9486403465270996,5.263157894736841e-06,3.0,57,1
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,0.7179070578681098,4.898552417755127,0.0002055555555555,1.0,18,2
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,0.6017505857679579,4.106028079986572,0.0001055555555555,2.0,36,2
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,0.5356612735324435,2.9633071422576904,5.555555555555555e-06,3.0,54,2
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,0.6930662042954389,2.994412899017334,0.0002058823529411,1.0,17,3
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,0.6035101273480583,1.816032648086548,0.0001058823529411,2.0,34,3
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,0.5682396047255572,1.3591229915618896,5.88235294117647e-06,3.0,51,3
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,0.641771065561395,1.2102292776107788,0.0002052631578947,1.0,19,1
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,0.5571129949469316,1.0426878929138184,0.0001052631578947,2.0,38,1
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,0.5418269508763364,0.7811408042907715,5.263157894736841e-06,3.0,57,1
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,0.6335799958970811,inf,0.0002055555555555,1.0,18,2
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,0.567530632019043,5.067986965179443,0.0001055555555555,2.0,36,2
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,0.5119131935967339,2.4422755241394043,5.555555555555555e-06,3.0,54,2
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,0.6008738910450655,1.991971969604492,0.0002058823529411,1.0,17,3
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,0.5659951041726505,1.9408979415893557,0.0001058823529411,2.0,34,3
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,0.5510391908533433,0.90872985124588,5.88235294117647e-06,3.0,51,3
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,0.6340324502242239,1.42595374584198,0.0002052631578947,1.0,19,1
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,0.5652094389262953,1.097644567489624,0.0001052631578947,2.0,38,1
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,0.5514074626721834,0.5858141779899597,5.263157894736841e-06,3.0,57,1
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,0.6154194937811958,4.56279182434082,0.0002055555555555,1.0,18,2
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,0.5627603530883789,inf,0.0001055555555555,2.0,36,2
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,0.5165760252210829,2.225382089614868,5.555555555555555e-06,3.0,54,2
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,0.5810960320865407,1.8167821168899536,0.0002058823529411,1.0,17,3
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,0.5691956912769991,1.695908546447754,0.0001058823529411,2.0,34,3
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,0.5589615877936868,0.9859219789505004,5.88235294117647e-06,3.0,51,3
Pasteurellaceae,esm2_t33_650M_UR50D,650M,LoRA,0.6353358968098959,5.062063694000244,0.0002013333333333,1.0,75,1
Pasteurellaceae,esm2_t33_650M_UR50D,650M,LoRA,0.548331298828125,2.0118861198425293,0.0001013333333333,2.0,150,1
Pasteurellaceae,esm2_t33_650M_UR50D,650M,LoRA,0.4694652811686198,1.209045171737671,1.3333333333333332e-06,3.0,225,1
Pasteurellaceae,esm2_t33_650M_UR50D,650M,LoRA,0.6332657602098253,1.0575933456420898,0.0002013888888888,1.0,72,2
Pasteurellaceae,esm2_t33_650M_UR50D,650M,LoRA,0.5353267987569174,3.6510183811187744,0.0001013888888888,2.0,144,2
Pasteurellaceae,esm2_t33_650M_UR50D,650M,LoRA,0.4632516437106662,4.63109827041626,1.3888888888888887e-06,3.0,216,2
Pasteurellaceae,esm2_t33_650M_UR50D,650M,LoRA,0.633763313293457,5.803049087524414,0.0002013888888888,1.0,72,3
Pasteurellaceae,esm2_t33_650M_UR50D,650M,LoRA,0.523071395026313,0.9140542149543762,0.0001013888888888,2.0,144,3
Pasteurellaceae,esm2_t33_650M_UR50D,650M,LoRA,0.4488405651516384,1.4304485321044922,1.3888888888888887e-06,3.0,216,3
Pasteurellaceae,esm2_t30_150M_UR50D,150M,full,0.6559465026855469,5.70985221862793,0.0002013333333333,1.0,75,1
Pasteurellaceae,esm2_t30_150M_UR50D,150M,full,0.6662372334798177,1.938538074493408,0.0001013333333333,2.0,150,1
Pasteurellaceae,esm2_t30_150M_UR50D,150M,full,0.6240088399251302,4.648983001708984,1.3333333333333332e-06,3.0,225,1
Pasteurellaceae,esm2_t30_150M_UR50D,150M,full,0.629342238108317,1.5573278665542605,0.0002013888888888,1.0,72,2
Pasteurellaceae,esm2_t30_150M_UR50D,150M,full,0.575081295437283,2.4782838821411133,0.0001013888888888,2.0,144,2
Pasteurellaceae,esm2_t30_150M_UR50D,150M,full,0.4230060047573513,12.380785942077637,1.3888888888888887e-06,3.0,216,2
Pasteurellaceae,esm2_t30_150M_UR50D,150M,full,0.6606371137830946,5.390172958374023,0.0002013888888888,1.0,72,3
Pasteurellaceae,esm2_t30_150M_UR50D,150M,full,0.5527933968438042,0.7796435952186584,0.0001013888888888,2.0,144,3
Pasteurellaceae,esm2_t30_150M_UR50D,150M,full,0.4577338960435655,0.9103968739509584,1.3888888888888887e-06,3.0,216,3
Pasteurellaceae,esm2_t12_35M_UR50D,35M,full,0.6789082845052083,5.882321834564209,0.0002013333333333,1.0,75,1
Pasteurellaceae,esm2_t12_35M_UR50D,35M,full,0.6436070251464844,1.7341678142547607,0.0001013333333333,2.0,150,1
Pasteurellaceae,esm2_t12_35M_UR50D,35M,full,0.5711866760253906,0.5010784268379211,1.3333333333333332e-06,3.0,225,1
Pasteurellaceae,esm2_t12_35M_UR50D,35M,full,0.6511463589138455,1.8409550189971924,0.0002013888888888,1.0,72,2
Pasteurellaceae,esm2_t12_35M_UR50D,35M,full,0.6657821337381998,3.108236789703369,0.0001013888888888,2.0,144,2
Pasteurellaceae,esm2_t12_35M_UR50D,35M,full,0.5896150271097819,1.6166839599609375,1.3888888888888887e-06,3.0,216,2
Pasteurellaceae,esm2_t12_35M_UR50D,35M,full,0.6642460823059082,5.705090045928955,0.0002013888888888,1.0,72,3
Pasteurellaceae,esm2_t12_35M_UR50D,35M,full,0.6656618118286133,3.894700288772583,0.0001013888888888,2.0,144,3
Pasteurellaceae,esm2_t12_35M_UR50D,35M,full,0.5924970308939616,0.9999907612800598,1.3888888888888887e-06,3.0,216,3
Pasteurellaceae,esm2_t6_8M_UR50D,8M,full,0.6276360066731771,9.126548767089844,0.0002013333333333,1.0,75,1
Pasteurellaceae,esm2_t6_8M_UR50D,8M,full,0.5548118082682292,2.659363031387329,0.0001013333333333,2.0,150,1
Pasteurellaceae,esm2_t6_8M_UR50D,8M,full,0.4788856506347656,1.882646083831787,1.3333333333333332e-06,3.0,225,1
Pasteurellaceae,esm2_t6_8M_UR50D,8M,full,0.6524643898010254,1.209127426147461,0.0002013888888888,1.0,72,2
