,epoch,train_loss,train_acc
0,1,0.7030723492304484,0.4631294964028777
1,2,0.6568016409873962,0.5442895683453237
2,3,0.6247284015019735,0.5051708633093526
3,4,0.5944821337858835,0.5483363309352518
4,5,0.5605279703934988,0.6317446043165468
5,6,0.5285569826761881,0.6794064748201439
6,7,0.5025701423486074,0.6798561151079137
7,8,0.47672344744205475,0.6814298561151079
8,9,0.453201229373614,0.6886241007194245
9,10,0.43389961620171863,0.689523381294964
10,11,0.4136502246061961,0.704136690647482
11,12,0.39852750301361084,0.7111061151079137
12,13,0.3878014882405599,0.7169514388489209
13,14,0.3754471590121587,0.7306654676258992
14,15,0.363769772152106,0.7360611510791367
15,16,0.3533003826936086,0.7430305755395683
16,17,0.34192337840795517,0.7535971223021583
17,18,0.3350929394364357,0.7558453237410072
18,19,0.32603231941660243,0.7637140287769785
19,20,0.3185553786655267,0.7702338129496403
