,epoch,train_loss,train_acc
0,1,0.7311664581298828,0.4751923076923077
1,2,0.6414659976959228,0.5809615384615384
2,3,0.6027398228645324,0.6631730769230769
3,4,0.563360470533371,0.6763461538461538
4,5,0.5423513561487198,0.6925
5,6,0.5177922070026397,0.7239423076923077
6,7,0.4977062076330185,0.7314423076923077
7,8,0.4826605409383774,0.744326923076923
8,9,0.4661888539791107,0.75625
9,10,0.45339760184288025,0.7619230769230769
10,11,0.44061395823955535,0.7735576923076923
11,12,0.42586673945188525,0.7784615384615384
