,epoch,train_loss,train_acc
0,1,0.6823087350888686,0.6686662473997388
1,2,0.6736819852482189,0.7256865495944399
2,3,0.667654072154652,0.7292341928305356
3,4,0.6652213540944186,0.7294115749923403
4,5,0.6653133739124645,0.7296534597584378
5,6,0.6634343873370777,0.7298469675713157
6,7,0.6631473487073725,0.7300888523374132
7,8,0.6627117753028869,0.7302178575459984
8,9,0.6620848991654136,0.7299598471288278
9,10,0.6620647912675685,0.7297502136648767
10,11,0.6617326644333926,0.729782464967023
11,12,0.6611727920445529,0.7296534597584378
12,13,0.6613371112129905,0.7296373341073645
13,14,0.6626944753256712,0.7296857110605841
14,15,0.6604118916121396,0.7295405802009256
15,16,0.6601301019841974,0.7297018367116572
16,17,0.6598267560655421,0.7297502136648767
17,18,0.6602139348333532,0.7296695854095109
18,19,0.6595167848196897,0.7298953445245352
