,epoch,train_loss,train_acc
0,1,0.668551994453777,0.688887813845484
1,2,0.6406141356988386,0.7088674955251318
2,3,0.631301652843302,0.7105284375856675
3,4,0.6238731541416862,0.7126086465741054
4,5,0.6176951890641993,0.7146404786093239
5,6,0.6095004309307445,0.7178011062196636
6,7,0.6015331615101207,0.7214938803154177
7,8,0.59290823394602,0.7260735652201957
8,9,0.5849214066158641,0.7293631980391209
9,10,0.5758220314979553,0.7335397416670698
10,11,0.5672288618304513,0.736248851047361
11,12,0.5589987803589214,0.7407317820457001
12,13,0.5507338811050762,0.7441181687710642
13,14,0.5421860922466625,0.7472465450792576
14,15,0.534422687237913,0.7500362827149146
15,16,0.5258590530265461,0.7535194233467176
16,17,0.518361247940497,0.7568090561656426
17,18,0.5117251049388539,0.7596471707545193
18,19,0.5045201959935102,0.7629206779223712
19,20,0.4974196740172126,0.764210730008224
