,epoch,train_loss,train_acc
0,1,0.6633993528105996,0.7006595391288923
1,2,0.6429605288939042,0.7086578620611808
2,3,0.6328926742076874,0.7115443536032767
3,4,0.6251276124607433,0.7160434102526889
4,5,0.6206137933514335,0.712963410897715
5,6,0.6124251197684895,0.7162046667634205
6,7,0.6039346911690452,0.7188976504926387
7,8,0.5965861699797891,0.7203167077870769
8,9,0.5863533052531156,0.7244448744618064
9,10,0.5754573572765697,0.7273797429571219
10,11,0.5643261554566297,0.7331043490880944
11,12,0.5522264185276898,0.737135761856385
12,13,0.539660765637051,0.7407479076967732
13,14,0.5264886219393123,0.7466337703384774
14,15,0.5141537029634823,0.7512457065454018
15,16,0.5022859367457303,0.7571960717913986
