loss,grad_norm,learning_rate,epoch,step,fold
0.5924138641357422,4.0271148681640625,0.000204,1.0,25,1
0.5040572357177734,1.0145376920700073,0.000104,2.0,50,1
0.3912997055053711,1.2478063106536865,4e-06,3.0,75,1
0.6147357622782389,2.4735851287841797,0.00020416666666666665,1.0,24,2
0.581044872601827,0.38738423585891724,0.00010416666666666666,2.0,48,2
0.5856194496154785,0.8100225329399109,4.166666666666666e-06,3.0,72,2
0.6594703380878155,9.790619850158691,0.00020384615384615385,1.0,26,3
0.6152881108797513,1.149587869644165,0.00010384615384615383,2.0,52,3
0.5570061757014348,2.848647117614746,3.846153846153846e-06,3.0,78,3
