pathogen,checkpoint,model size,mode,loss,grad_norm,learning_rate,epoch,step
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,0.5772530815818093,0.4570889770984649,0.0002045454545454,1.0,22
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,0.4754640839316628,2.8162832260131836,0.0001045454545454,2.0,44
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,0.4307700070467862,0.907321035861969,4.5454545454545455e-06,3.0,66
Clostridioides difficile,esm2_t33_650M_UR50D,650M,full,0.6390757994218306,1.5289713144302368,0.0002045454545454,1.0,22
Clostridioides difficile,esm2_t33_650M_UR50D,650M,full,0.5391320315274325,1.5934362411499023,0.0001045454545454,2.0,44
Clostridioides difficile,esm2_t33_650M_UR50D,650M,full,0.5896958437832919,0.6383165121078491,4.5454545454545455e-06,3.0,66
Pasteurellaceae,esm2_t6_8M_UR50D,8M,full,0.6534437925919242,1.8154479265213013,0.0002010869565217,1.0,92
Pasteurellaceae,esm2_t6_8M_UR50D,8M,full,0.5929487891819166,10.917024612426758,0.0001010869565217,2.0,184
Pasteurellaceae,esm2_t6_8M_UR50D,8M,full,0.5284106627754543,5.105886459350586,1.0869565217391303e-06,3.0,276
Pasteurellaceae,esm2_t12_35M_UR50D,35M,full,0.632260156714398,1.1543184518814087,0.0002010869565217,1.0,92
Pasteurellaceae,esm2_t12_35M_UR50D,35M,full,0.6081583603568699,3.2147998809814453,0.0001010869565217,2.0,184
Pasteurellaceae,esm2_t12_35M_UR50D,35M,full,0.52805000802745,5.760463237762451,1.0869565217391303e-06,3.0,276
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,0.6325336124586023,2.509000062942505,0.0002010869565217,1.0,92
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,0.5598208800606106,5.025611400604248,0.0001010869565217,2.0,184
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,0.4995979640794837,4.870784759521484,1.0869565217391303e-06,3.0,276
Pasteurellaceae,esm2_t33_650M_UR50D,650M,LoRA,0.606266104656717,1.8343597650527952,0.0002010869565217,1.0,92
Pasteurellaceae,esm2_t33_650M_UR50D,650M,LoRA,0.5016385783319888,5.351263046264648,0.0001010869565217,2.0,184
Pasteurellaceae,esm2_t33_650M_UR50D,650M,LoRA,0.4126312836356785,7.429333209991455,1.0869565217391303e-06,3.0,276
Pasteurellaceae,esm2_t12_35M_UR50D,35M,LoRA,0.6426895390386167,1.8613957166671753,0.0002010869565217,1.0,92
Pasteurellaceae,esm2_t12_35M_UR50D,35M,LoRA,0.5634736600129501,4.652058124542236,0.0001010869565217,2.0,184
