,epoch,train_loss,train_acc
0,1,0.7442940150867302,0.545194473187656
1,2,0.6854382568812533,0.560350599549577
2,3,0.6811056730229528,0.5752632540020695
3,4,0.6806844184438117,0.5903585123866334
4,5,0.679419707764437,0.6001582567411284
5,6,0.6739650155692393,0.6124535881672653
6,7,0.6742935917741948,0.6166534786049059
7,8,0.6741015539081094,0.6017408241524134
8,9,0.6708005082874242,0.5513421389007244
9,10,0.6713058301687472,0.6010712764014852
10,11,0.6686449476028952,0.6209751049972609
11,12,0.6671837606587916,0.6240793718424736
12,13,0.666478480225993,0.6248706555481162
13,14,0.6649054247657419,0.6252358634122588
