Fold,Label,Prob,Preds
1,1,0.85207963,1
1,1,0.85243815,1
1,1,0.8504647,1
1,1,0.8499132,1
1,1,0.8514165,1
1,1,0.8517602,1
1,1,0.8530362,1
1,1,0.85366637,1
1,1,0.8520236,1
1,1,0.853823,1
1,1,0.853383,1
1,1,0.8499281,1
1,1,0.85324645,1
1,1,0.8511133,1
1,1,0.8510751,1
1,1,0.8528741,1
1,1,0.79414934,1
1,1,0.795403,1
1,1,0.7954298,1
1,1,0.7970501,1
1,1,0.797592,1
1,1,0.7930291,1
1,1,0.8006323,1
1,1,0.7969819,1
1,1,0.79784656,1
1,1,0.7964394,1
1,1,0.7959725,1
1,1,0.7987332,1
1,1,0.7406906,1
1,1,0.7390622,1
1,1,0.73971355,1
1,1,0.7375384,1
1,1,0.73879313,1
1,1,0.7398385,1
1,1,0.738402,1
1,1,0.74014837,1
1,1,0.73798686,1
1,1,0.73973066,1
1,1,0.73866385,1
1,1,0.74124426,1
1,1,0.73931897,1
1,1,0.7421516,1
1,1,0.8118701,1
1,1,0.81223404,1
1,1,0.8092209,1
1,1,0.8128106,1
1,1,0.8116527,1
1,1,0.81010044,1
1,1,0.8089568,1
1,1,0.811674,1
1,1,0.81046516,1
1,1,0.81288254,1
1,1,0.8118995,1
1,1,0.8128027,1
1,1,0.81229013,1
1,1,0.815228,1
1,1,0.83999187,1
1,1,0.8399135,1
1,1,0.83958125,1
1,1,0.8405157,1
1,1,0.84084564,1
1,1,0.8418521,1
1,1,0.84418863,1
1,1,0.84007317,1
1,1,0.8432267,1
1,1,0.7294675,1
1,1,0.7302555,1
1,1,0.7284923,1
1,1,0.73281896,1
1,1,0.7301901,1
1,1,0.7301576,1
1,1,0.73217666,1
1,1,0.7317748,1
1,1,0.83535016,1
1,1,0.8366063,1
1,1,0.8357475,1
1,1,0.83431625,1
1,1,0.8348849,1
1,1,0.83628076,1
1,1,0.83568555,1
1,1,0.84065324,1
1,1,0.84553224,1
1,1,0.84426945,1
1,1,0.8437999,1
1,1,0.8441605,1
1,1,0.8469609,1
1,1,0.84866965,1
1,1,0.8480254,1
1,1,0.84447694,1
1,1,0.8441732,1
1,1,0.8474068,1
1,1,0.8444614,1
1,1,0.8481158,1
1,1,0.8472772,1
1,1,0.8447831,1
1,1,0.848401,1
1,1,0.85164607,1
1,1,0.8445393,1
1,1,0.8450089,1
1,1,0.84533566,1
1,1,0.84691,1
1,1,0.84507066,1
1,1,0.850076,1
1,1,0.84926677,1
1,1,0.8477997,1
1,1,0.8471019,1
1,1,0.8493108,1
1,1,0.84685427,1
1,1,0.85002536,1
1,1,0.8457721,1
1,1,0.84614635,1
1,1,0.84501266,1
1,1,0.8473381,1
1,1,0.84707814,1
1,1,0.8489957,1
1,1,0.84587,1
1,1,0.84588504,1
