,epoch,train_loss,train_acc
0,1,0.6672428335462298,0.6535506402793947
1,2,0.6039163512842995,0.6540162980209546
2,3,0.5815733692475727,0.6540162980209546
3,4,0.567758600626673,0.6540162980209546
4,5,0.5546896117074149,0.6540162980209546
5,6,0.5408576833350318,0.6544819557625146
6,7,0.5285713630063194,0.6551804423748545
7,8,0.5104097425937653,0.6696158323632131
8,9,0.4952026286295482,0.6956926658905704
9,10,0.48128282385213034,0.729918509895227
10,11,0.4674051063401358,0.7541327124563446
11,12,0.45025127061775755,0.7783469150174621
12,13,0.4381259637219565,0.7916181606519208
13,14,0.4260390443461282,0.8
14,15,0.4137175317321505,0.8060535506402794
15,16,0.404699587396213,0.8081490104772991
16,17,0.39270557888916563,0.8132712456344586
17,18,0.3857755831309727,0.8153667054714785
