,epoch,train_loss,train_acc
0,1,0.6874388030597142,0.5951105937136205
1,2,0.582890442439488,0.6540162980209546
2,3,0.5370838131223407,0.6542491268917345
3,4,0.49293020154748646,0.679627473806752
4,5,0.44814650075776236,0.7357392316647264
5,6,0.40280440023967196,0.780209545983702
6,7,0.3608567863702774,0.8060535506402794
7,8,0.3244515135884285,0.8181606519208382
8,9,0.2915088300194059,0.8281722933643771
9,10,0.26506923671279636,0.8423748544819558
10,11,0.2431901086653982,0.850291036088475
11,12,0.2246789075434208,0.8556461001164144
