,epoch,train_loss,train_acc
0,1,0.6824564678328378,0.5455180442374854
1,2,0.5772398710250854,0.6570430733410942
2,3,0.5356686924185071,0.6661233993015134
3,4,0.49853746380124775,0.7064027939464493
4,5,0.4604573164667402,0.7573923166472643
5,6,0.4290583836180823,0.7948777648428406
6,7,0.4007183185645512,0.810244470314319
7,8,0.3711447130356516,0.8146682188591385
8,9,0.3470296710729599,0.8228172293364377
9,10,0.3257504871913365,0.830034924330617
10,11,0.30727356885160717,0.8356228172293364
11,12,0.2938676029443741,0.840512223515716
12,13,0.2799479514360428,0.8449359720605355
13,14,0.2695425642388208,0.8526193247962748
14,15,0.2601686992815563,0.8514551804423749
