,epoch,train_loss,train_acc
0,1,0.6945715509355068,0.4557645419714385
1,2,0.6595154292881489,0.5480668756530825
2,3,0.6363737992942333,0.607889237199582
3,4,0.6153797879815102,0.634622082897945
4,5,0.5951804891228676,0.662748171368861
5,6,0.5766810476779938,0.6762452107279694
6,7,0.5594386421144009,0.6904388714733543
7,8,0.5439154002815485,0.7009752699407872
8,9,0.5307203941047192,0.706461163357715
9,10,0.5193714182823896,0.7145593869731801
10,11,0.5074279028922319,0.7196969696969697
11,12,0.49537826515734196,0.7290142807384187
