,epoch,train_loss,train_acc
0,1,0.6653800777026585,0.6330616996507566
1,2,0.5867204282964978,0.6549476135040745
2,3,0.547483218567712,0.661001164144354
3,4,0.5093509086540767,0.6942956926658905
4,5,0.4719547650643757,0.7343422584400465
5,6,0.43583619594573975,0.7648428405122235
6,7,0.4073678297655923,0.7867287543655413
7,8,0.3794944946255003,0.7967403958090803
8,9,0.3524087539740971,0.8025611175785797
9,10,0.3284717138324465,0.809545983701979
10,11,0.30766608885356356,0.820256111757858
11,12,0.29010927251407076,0.8249126891734575
12,13,0.27457275348050253,0.839813736903376
13,14,0.26220750489405226,0.8437718277066356
14,15,0.2484485326068742,0.8519208381839348
15,16,0.23677200930459158,0.8540162980209546
