pathogen,checkpoint,model size,mode,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,step
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,5202.6514,5.33,1.333,0.0,0.3828359351054287,3.0,6933
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,full,6441.5377,4.305,1.076,0.0,0.488066706979978,3.0,6933
