,epoch,train_loss,train_acc
0,1,0.7102404236793518,0.5134892086330936
1,2,0.6742037336031595,0.5982464028776978
2,3,0.6502859195073446,0.622751798561151
3,4,0.6253371437390646,0.6425359712230215
4,5,0.6008114417394003,0.6515287769784173
5,6,0.5814906855424246,0.6573741007194245
6,7,0.5566042363643646,0.6647931654676259
7,8,0.5354096293449402,0.6699640287769785
8,9,0.5142914255460104,0.6697392086330936
9,10,0.4958379864692688,0.6690647482014388
10,11,0.47946592171986896,0.6704136690647482
11,12,0.4665745447079341,0.6789568345323741
12,13,0.4531182646751404,0.6868255395683454
13,14,0.4427223652601242,0.6877248201438849
14,15,0.43071164687474567,0.6973920863309353
15,16,0.4213560571273168,0.7009892086330936
16,17,0.4147827923297882,0.7086330935251799
17,18,0.4069053679704666,0.7144784172661871
18,19,0.3976026301582654,0.7153776978417267
19,20,0.3932598928610484,0.7266187050359713
